                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2738,                 5.8723,                 4.1364,                      0,                      0,                      0,                      0,                 5.4403,                 5.4852,                 4.2031,              0.0032653,              0.0032653,              0.0032653
                      2,                 3.6404,                 3.9246,                  3.024,                      0,                      0,                      0,                      0,                 5.4088,                 5.5686,                 4.2337,              0.0065856,              0.0065856,              0.0065856
                      3,                 2.5633,                 3.0942,                 2.1501,                0.00016,                0.00361,                0.00023,                  5e-05,                 4.9067,                 4.2926,                 3.6432,              0.0098926,              0.0098926,              0.0098926
                      4,                 2.0537,                  2.478,                 1.7512,                0.01331,                0.01953,                 0.0092,                0.00436,                  3.221,                   4.51,                 2.7834,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.7288,                 2.1088,                 1.5053,                0.40803,                0.13657,                0.08161,                0.03771,                  2.471,                 2.7258,                  1.926,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.5417,                 1.7816,                 1.3765,                0.54548,                0.27086,                0.27121,                0.15001,                 1.5737,                 1.8932,                 1.4471,              0.0099208,              0.0099208,              0.0099208
                      7,                  1.416,                 1.6065,                 1.3076,                0.56157,                0.29356,                0.31243,                 0.1926,                 1.4667,                 1.6126,                 1.3569,               0.009901,               0.009901,               0.009901
                      8,                  1.331,                  1.436,                 1.2563,                0.41164,                0.06613,                0.08612,                 0.0359,                 2.8418,                 5.7123,                 2.5773,              0.0098812,              0.0098812,              0.0098812
                      9,                    1.3,                 1.3436,                 1.2213,                0.58619,                0.39846,                 0.3947,                0.24223,                 1.3917,                 1.3328,                 1.2868,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.2362,                 1.2438,                 1.2015,                0.07039,                0.03236,                0.04491,                0.01915,                 3.1839,                  9.945,                 2.8074,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.2015,                 1.1631,                 1.1735,                0.52982,                0.27233,                0.32775,                0.19218,                 1.7567,                 1.7809,                 1.5639,              0.0098218,              0.0098218,              0.0098218
                     12,                 1.1701,                 1.0938,                 1.1513,                0.50431,                0.34574,                0.36529,                0.20846,                 1.6195,                 1.5974,                 1.4077,               0.009802,               0.009802,               0.009802
                     13,                 1.1359,                 1.0602,                 1.1358,                0.39047,                0.14426,                0.15712,                0.08815,                 2.6803,                 2.9567,                 2.2606,              0.0097822,              0.0097822,              0.0097822
                     14,                 1.1544,                 1.0768,                 1.1311,                0.77039,                0.42271,                0.55412,                0.36537,                 1.2033,                 1.1012,                 1.1736,              0.0097624,              0.0097624,              0.0097624
                     15,                 1.0942,                0.96467,                 1.1134,                0.57024,                0.15384,                0.14768,                0.08291,                 2.3891,                  3.308,                 1.8839,              0.0097426,              0.0097426,              0.0097426
                     16,                 1.0648,                0.93116,                 1.0989,                0.49614,                0.13105,                0.12289,                0.06601,                  2.885,                 3.9251,                 2.3259,              0.0097228,              0.0097228,              0.0097228
                     17,                 1.0409,                 0.8804,                 1.0843,                0.58805,                0.28128,                0.31214,                0.17692,                 1.9639,                 2.0394,                 1.6123,               0.009703,               0.009703,               0.009703
                     18,                 1.0372,                0.86729,                 1.0825,                0.56144,                0.22256,                 0.2511,                 0.1505,                 1.9746,                  2.133,                 1.6418,              0.0096832,              0.0096832,              0.0096832
                     19,                  1.021,                0.85757,                 1.0774,                0.81074,                0.51336,                0.65203,                0.43032,                 1.1031,                0.87754,                 1.1117,              0.0096634,              0.0096634,              0.0096634
                     20,                 1.0066,                0.80742,                 1.0579,                0.53102,                0.27945,                0.30519,                0.18349,                 1.9788,                 2.0031,                 1.6743,              0.0096436,              0.0096436,              0.0096436
                     21,                0.99987,                0.77847,                  1.055,                0.72765,                0.57948,                0.66403,                0.44136,                 1.1005,                 0.8505,                 1.1216,              0.0096238,              0.0096238,              0.0096238
                     22,                0.98291,                0.76007,                 1.0514,                0.75706,                0.43232,                0.56733,                0.35264,                 1.2861,                 1.2573,                 1.2362,               0.009604,               0.009604,               0.009604
                     23,                 1.0174,                0.82149,                  1.065,                0.56336,                0.19088,                0.23197,                0.14661,                 2.1766,                 3.3233,                 1.8845,              0.0095842,              0.0095842,              0.0095842
                     24,                0.96461,                0.73842,                 1.0378,                0.67344,                0.45553,                0.53859,                0.34513,                 1.3068,                 1.1607,                 1.2435,              0.0095644,              0.0095644,              0.0095644
                     25,                0.95892,                0.71963,                 1.0367,                0.76522,                0.65425,                0.72618,                0.51364,                 1.0003,                0.75106,                 1.0716,              0.0095446,              0.0095446,              0.0095446
                     26,                 0.9499,                0.69985,                 1.0403,                0.58017,                0.30753,                0.33559,                0.19133,                 1.9376,                 2.0058,                 1.6018,              0.0095248,              0.0095248,              0.0095248
                     27,                0.95513,                0.70629,                 1.0327,                0.58367,                0.31546,                0.39834,                0.23608,                 1.7274,                 1.6272,                 1.5391,               0.009505,               0.009505,               0.009505
                     28,                0.92024,                 0.6762,                  1.022,                 0.8049,                0.62834,                0.73968,                0.52487,                0.99111,                0.78391,                 1.0709,              0.0094852,              0.0094852,              0.0094852
                     29,                0.91254,                 0.6584,                 1.0131,                0.78598,                0.64264,                0.73631,                0.51071,                 1.0184,                0.81238,                  1.088,              0.0094654,              0.0094654,              0.0094654
                     30,                0.89878,                0.64116,                 1.0092,                0.53673,                 0.2217,                0.23279,                0.14009,                 2.1941,                  2.777,                  1.788,              0.0094456,              0.0094456,              0.0094456
                     31,                0.89138,                0.62776,                 1.0062,                0.53995,                0.18443,                0.19828,                0.11892,                 2.4684,                 3.3642,                 2.1677,              0.0094258,              0.0094258,              0.0094258
                     32,                0.90034,                0.62701,                 1.0047,                0.59616,                0.24757,                0.29761,                0.17806,                 1.8489,                 1.8873,                 1.5511,               0.009406,               0.009406,               0.009406
                     33,                0.90743,                0.65208,                  1.029,                0.63609,                0.29013,                0.33634,                0.20006,                 1.6985,                 1.7821,                 1.4464,              0.0093862,              0.0093862,              0.0093862
                     34,                0.87891,                0.60702,                0.99441,                0.83114,                0.65979,                0.77133,                0.54837,                0.95891,                0.70003,                 1.0591,              0.0093664,              0.0093664,              0.0093664
                     35,                0.88109,                0.59998,                0.99458,                0.62436,                0.43728,                0.51709,                0.32415,                 1.4331,                 1.5989,                 1.3492,              0.0093466,              0.0093466,              0.0093466
                     36,                 0.8642,                 0.5867,                 0.9876,                 0.8138,                 0.6837,                0.76743,                0.53127,                 1.0021,                0.70076,                 1.0767,              0.0093268,              0.0093268,              0.0093268
                     37,                0.85942,                0.58385,                0.98865,                0.70519,                0.44207,                0.54508,                0.34324,                 1.3291,                  1.392,                 1.2523,               0.009307,               0.009307,               0.009307
                     38,                0.86159,                0.57775,                0.99638,                0.67816,                0.49645,                0.58842,                0.37899,                 1.2101,                 1.0527,                 1.1995,              0.0092872,              0.0092872,              0.0092872
                     39,                0.85389,                0.59122,                0.98494,                0.76662,                0.28894,                 0.3797,                0.23824,                 1.6658,                 2.2732,                  1.497,              0.0092674,              0.0092674,              0.0092674
                     40,                0.84575,                0.57648,                0.98472,                0.80408,                 0.7471,                 0.8112,                0.59083,                0.91853,                0.62916,                 1.0344,              0.0092476,              0.0092476,              0.0092476
                     41,                0.84625,                0.55632,                0.97593,                0.63635,                0.43679,                0.49747,                0.27997,                 1.4871,                   1.35,                 1.3337,              0.0092278,              0.0092278,              0.0092278
                     42,                0.83763,                0.55196,                 0.9763,                0.82057,                  0.752,                0.80995,                0.59391,                 0.8986,                0.61576,                 1.0244,               0.009208,               0.009208,               0.009208
                     43,                 0.8393,                0.55479,                0.97515,                0.75353,                0.27718,                0.35053,                0.22552,                 1.7964,                 2.5726,                 1.6586,              0.0091882,              0.0091882,              0.0091882
                     44,                0.81958,                0.54822,                0.97006,                0.73741,                0.55143,                0.66008,                0.42418,                 1.1014,                0.93399,                 1.1304,              0.0091684,              0.0091684,              0.0091684
                     45,                 0.8257,                0.53941,                0.97347,                0.60599,                0.26111,                0.30835,                0.20268,                 2.0011,                 2.9833,                 1.8242,              0.0091486,              0.0091486,              0.0091486
                     46,                0.82373,                0.52063,                 0.9655,                0.65696,                0.42496,                 0.4725,                0.29136,                 1.4141,                 1.4045,                 1.3235,              0.0091288,              0.0091288,              0.0091288
                     47,                0.80864,                0.51547,                  0.963,                0.69963,                0.52528,                0.63478,                0.41757,                 1.1436,                 1.0311,                 1.1612,               0.009109,               0.009109,               0.009109
                     48,                0.80976,                 0.5202,                0.96488,                0.57254,                0.24546,                 0.2624,                0.16962,                 1.9586,                 2.4917,                 1.7048,              0.0090892,              0.0090892,              0.0090892
                     49,                0.81262,                0.54553,                0.97037,                0.64145,                0.26721,                 0.3083,                 0.2043,                 1.9613,                 2.9569,                 1.8967,              0.0090694,              0.0090694,              0.0090694
                     50,                 0.7994,                0.50459,                 0.9578,                0.62157,                0.26527,                0.29897,                0.19276,                 2.0057,                 2.6423,                 1.8007,              0.0090496,              0.0090496,              0.0090496
