                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.97178,                0.75247,                 1.0427,                0.47787,                0.16062,                0.15023,                0.08657,                 2.3735,                  3.539,                 2.2031,              0.0093466,              0.0093466,              0.0093466
                     36,                0.95623,                0.73022,                 1.0353,                0.50247,                0.20969,                0.21329,                0.13313,                 2.3889,                 3.4331,                 2.3224,              0.0093268,              0.0093268,              0.0093268
                     37,                0.94483,                 0.7117,                 1.0268,                0.56839,                0.26122,                0.30674,                0.19982,                 1.8626,                  2.775,                 1.7364,               0.009307,               0.009307,               0.009307
                     38,                0.94004,                0.71493,                 1.0309,                0.48718,                0.23893,                0.25414,                0.16368,                 2.1286,                 2.8136,                 1.7924,              0.0092872,              0.0092872,              0.0092872
                     39,                0.93918,                0.70199,                 1.0204,                 0.6845,                0.24675,                0.29218,                0.18424,                 1.8123,                 2.4118,                 1.6516,              0.0092674,              0.0092674,              0.0092674
                     40,                0.92578,                0.68989,                 1.0129,                0.55787,                0.09663,                0.12531,                0.07551,                 2.8085,                 5.1829,                 2.5215,              0.0092476,              0.0092476,              0.0092476
                     41,                0.92574,                0.67742,                 1.0196,                0.66544,                0.22554,                0.25506,                0.15972,                 2.2311,                  2.404,                 1.9738,              0.0092278,              0.0092278,              0.0092278
                     42,                 0.9083,                0.67402,                  1.009,                0.69981,                0.59014,                0.64072,                0.43737,                 1.0959,                 0.8665,                 1.1381,               0.009208,               0.009208,               0.009208
                     43,                0.90892,                0.66477,                 1.0093,                0.76053,                0.57638,                0.66143,                0.46284,                 1.0332,                0.83834,                 1.1022,              0.0091882,              0.0091882,              0.0091882
                     44,                    0.9,                0.66135,                 1.0063,                0.57824,                0.24741,                0.24569,                0.15519,                 2.1461,                 3.0538,                 1.9929,              0.0091684,              0.0091684,              0.0091684
                     45,                0.89783,                 0.6471,                 1.0057,                0.60021,                0.27235,                 0.2839,                0.18021,                 1.9261,                 2.6664,                 1.7408,              0.0091486,              0.0091486,              0.0091486
                     46,                0.87825,                0.62909,                0.99349,                0.49456,                0.15271,                0.16167,                0.10508,                 2.5315,                 3.9261,                 2.0843,              0.0091288,              0.0091288,              0.0091288
