                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.3034,                 5.8979,                 4.1549,                      0,                      0,                      0,                      0,                 5.4395,                 5.4861,                 4.2031,              0.0032653,              0.0032653,              0.0032653
                      2,                 3.7052,                 4.0164,                 3.0472,                      0,                      0,                      0,                      0,                 5.5167,                 5.7401,                 4.3884,              0.0065856,              0.0065856,              0.0065856
                      3,                 2.6462,                 3.0894,                  2.187,                0.00391,                0.01578,                0.00287,                 0.0008,                 4.1998,                 5.2227,                 3.7346,              0.0098926,              0.0098926,              0.0098926
                      4,                 2.0608,                 2.5084,                  1.758,                0.01667,                 0.0195,                0.00917,                0.00427,                 3.6604,                    inf,                 3.5857,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.7222,                 2.0642,                  1.511,                0.03449,                0.08066,                0.03243,                0.01229,                 3.0715,                  3.821,                 2.5837,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.5277,                 1.7631,                 1.3756,                0.44494,                0.23222,                0.20502,                  0.111,                 1.7256,                 3.5343,                 1.5571,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.4244,                 1.5931,                 1.3111,                0.47023,                0.28989,                0.28762,                0.17126,                 1.5798,                 1.7978,                 1.4306,               0.009901,               0.009901,               0.009901
                      8,                 1.3371,                 1.4296,                 1.2574,                0.05483,                0.06773,                0.05442,                0.02821,                 2.9191,                 5.6574,                 2.4872,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.2983,                 1.3309,                 1.2191,                0.38931,                0.14286,                0.14243,                0.08084,                 2.6651,                 3.0876,                 2.4232,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.2318,                 1.2337,                 1.1995,                0.60777,                0.21003,                0.21915,                0.11319,                 2.1044,                 2.2394,                 1.6991,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.1939,                 1.1445,                  1.171,                0.51289,                 0.1666,                0.16526,                0.08879,                 2.3256,                  2.752,                 1.8019,              0.0098218,              0.0098218,              0.0098218
