                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.6377,                   4.96,                 3.7051,                  1e-05,                0.00082,                      0,                      0,                  4.395,                 4.9029,                 3.0466,                0.08119,                0.00019,                0.00019
                      2,                 3.6512,                 3.7526,                 2.8165,                  1e-05,                0.00148,                  1e-05,                  1e-05,                 4.2572,                  4.699,                 2.8094,               0.061389,             0.00038923,             0.00038923
                      3,                 3.1335,                 3.2989,                 2.4076,                  3e-05,                0.00356,                0.00019,                  5e-05,                  4.224,                 5.3759,                 2.7719,               0.041588,             0.00058766,             0.00058766
                      4,                 2.8934,                 3.0255,                 2.2159,                0.00055,                0.00082,                 0.0003,                  6e-05,                 3.9975,                 5.3186,                 2.6405,               0.021785,             0.00078531,             0.00078531
                      5,                 2.6595,                 2.7736,                 2.0808,                0.27593,                0.01026,                0.00484,                0.00188,                 3.5493,                  5.062,                 2.3474,              0.0019822,             0.00098216,             0.00098216
                      6,                 2.4624,                 2.6185,                 1.9478,                0.52213,                0.02224,                0.01236,                0.00501,                 2.8125,                    inf,                 1.9794,              0.0009901,              0.0009901,              0.0009901
                      7,                 2.3017,                 2.4698,                 1.8302,                0.62346,                0.02977,                0.01914,                0.00566,                 2.9526,                 4.3498,                 2.1001,              0.0009901,              0.0009901,              0.0009901
                      8,                 2.1588,                 2.3451,                 1.7609,                0.01411,                  0.171,                0.03088,                0.01322,                 2.5264,                 3.4486,                 1.7473,             0.00098812,             0.00098812,             0.00098812
                      9,                  2.078,                 2.2319,                  1.697,                0.53651,                0.03501,                0.01735,                0.00699,                 2.6117,                  3.584,                 1.8404,             0.00098614,             0.00098614,             0.00098614
                     10,                 1.9177,                 2.0848,                 1.6046,                0.67047,                0.04455,                0.06407,                0.03255,                 2.4625,                 3.4703,                 1.7581,             0.00098416,             0.00098416,             0.00098416
                     11,                 1.8782,                 1.9938,                 1.5847,                0.45688,                0.08742,                0.05942,                0.02319,                 2.4639,                  3.001,                 1.7432,             0.00098218,             0.00098218,             0.00098218
                     12,                 1.8358,                 1.9349,                 1.5442,                0.64852,                0.04498,                 0.0308,                0.01047,                 2.9523,                 3.5638,                  2.169,              0.0009802,              0.0009802,              0.0009802
                     13,                 1.7915,                 1.9023,                 1.5164,                0.50843,                0.13322,                0.10863,                0.05629,                 1.9681,                  2.617,                 1.5553,             0.00097822,             0.00097822,             0.00097822
                     14,                 1.7349,                 1.8088,                 1.4822,                0.49384,                 0.0782,                0.07784,                0.04152,                 1.9929,                 2.7693,                 1.4967,             0.00097624,             0.00097624,             0.00097624
                     15,                 1.6777,                 1.7504,                 1.4478,                0.47279,                0.15338,                0.13781,                0.06887,                 1.8617,                 2.5341,                 1.4472,             0.00097426,             0.00097426,             0.00097426
                     16,                  1.631,                 1.7075,                  1.445,                0.45471,                0.10657,                0.09162,                0.03667,                 2.1054,                 2.7513,                 1.5763,             0.00097228,             0.00097228,             0.00097228
                     17,                 1.5774,                 1.6702,                 1.3993,                0.37361,                0.17826,                0.14422,                0.08495,                 1.8211,                 2.6374,                 1.4343,              0.0009703,              0.0009703,              0.0009703
                     18,                 1.6102,                 1.6471,                 1.4297,                 0.6248,                0.09793,                0.11222,                0.05395,                 2.0535,                 2.7004,                 1.5371,             0.00096832,             0.00096832,             0.00096832
                     19,                 1.5854,                  1.602,                 1.3978,                0.60094,                0.15107,                 0.1543,                0.08879,                 1.8301,                  2.617,                 1.4302,             0.00096634,             0.00096634,             0.00096634
                     20,                 1.5679,                 1.5798,                 1.3966,                0.56487,                0.20354,                0.16676,                0.08549,                 1.8451,                 2.2861,                 1.4209,             0.00096436,             0.00096436,             0.00096436
                     21,                 1.5405,                 1.5385,                 1.3692,                0.47478,                0.18633,                0.18629,                0.09946,                 1.7666,                 2.3502,                 1.4095,             0.00096238,             0.00096238,             0.00096238
                     22,                  1.493,                 1.4864,                 1.3608,                0.70779,                0.19045,                0.18476,                 0.1038,                  1.801,                  2.518,                 1.4265,              0.0009604,              0.0009604,              0.0009604
                     23,                 1.4763,                 1.4549,                 1.3411,                0.32095,                0.27999,                0.13844,                0.07616,                 1.9221,                 2.7904,                 1.4567,             0.00095842,             0.00095842,             0.00095842
                     24,                 1.4507,                 1.4113,                 1.3308,                0.54921,                0.17959,                0.20103,                0.10556,                 1.8011,                 2.2743,                 1.3717,             0.00095644,             0.00095644,             0.00095644
                     25,                 1.4531,                 1.4226,                 1.3304,                0.49427,                0.20199,                0.18508,                0.09469,                 1.7724,                 2.4276,                 1.3836,             0.00095446,             0.00095446,             0.00095446
                     26,                 1.3977,                 1.3462,                 1.2852,                0.50706,                0.21049,                0.19703,                0.10961,                 1.7502,                 2.4142,                 1.4077,             0.00095248,             0.00095248,             0.00095248
                     27,                 1.4018,                 1.3292,                 1.2867,                0.57063,                0.25826,                0.24826,                0.14907,                 1.6457,                 2.3409,                 1.3331,              0.0009505,              0.0009505,              0.0009505
                     28,                 1.4311,                 1.3423,                 1.2898,                0.57844,                0.19736,                0.20222,                0.11007,                 1.7546,                 2.4213,                  1.408,             0.00094852,             0.00094852,             0.00094852
                     29,                 1.4049,                 1.3235,                 1.2953,                0.07494,                0.05207,                0.05018,                0.02447,                 2.2841,                    inf,                 1.6636,             0.00094654,             0.00094654,             0.00094654
                     30,                 1.3798,                  1.272,                 1.2667,                0.52445,                 0.2261,                0.25691,                0.14635,                 1.7123,                 2.3656,                 1.3494,             0.00094456,             0.00094456,             0.00094456
                     31,                 1.3778,                  1.284,                 1.2631,                0.50139,                0.19891,                0.17475,                0.09453,                 1.8279,                 2.6795,                 1.4092,             0.00094258,             0.00094258,             0.00094258
                     32,                 1.3691,                 1.2779,                 1.2697,                0.52516,                0.27656,                0.26915,                 0.1562,                 1.6225,                 2.0354,                 1.3271,              0.0009406,              0.0009406,              0.0009406
                     33,                 1.2995,                 1.1932,                 1.2403,                0.54919,                0.27695,                0.26753,                0.14907,                  1.636,                 2.1904,                 1.3034,             0.00093862,             0.00093862,             0.00093862
                     34,                 1.3269,                 1.2031,                 1.2563,                0.46906,                0.27949,                0.23445,                0.13063,                 1.6941,                  2.431,                 1.3441,             0.00093664,             0.00093664,             0.00093664
                     35,                 1.3066,                  1.202,                 1.2458,                0.48615,                0.30802,                0.30994,                0.18255,                 1.6013,                 2.1486,                 1.2973,             0.00093466,             0.00093466,             0.00093466
                     36,                 1.2622,                 1.1522,                 1.2128,                0.43721,                0.29675,                0.27893,                0.16608,                 1.6716,                 2.2178,                 1.3307,             0.00093268,             0.00093268,             0.00093268
                     37,                 1.2934,                 1.1656,                 1.2403,                 0.5805,                0.23515,                0.22126,                0.12247,                 1.8335,                 2.5473,                 1.3986,              0.0009307,              0.0009307,              0.0009307
                     38,                 1.2677,                 1.1201,                 1.2117,                0.49674,                0.29864,                0.29848,                0.16932,                 1.6747,                 2.0798,                 1.3282,             0.00092872,             0.00092872,             0.00092872
                     39,                 1.2793,                 1.1583,                 1.2417,                0.53628,                0.27458,                0.26497,                0.14808,                 1.6737,                 2.1391,                 1.3503,             0.00092674,             0.00092674,             0.00092674
                     40,                 1.2553,                 1.1378,                 1.2108,                0.55953,                0.31613,                0.31498,                0.18967,                 1.5279,                 1.9243,                 1.2646,             0.00092476,             0.00092476,             0.00092476
                     41,                 1.2563,                  1.143,                 1.2165,                0.43322,                0.35551,                 0.3293,                0.19785,                 1.5713,                 2.1394,                 1.2981,             0.00092278,             0.00092278,             0.00092278
                     42,                 1.2411,                 1.1002,                  1.216,                0.60763,                0.28148,                0.29978,                0.17215,                 1.6367,                 2.1639,                 1.3265,              0.0009208,              0.0009208,              0.0009208
                     43,                 1.2436,                 1.0817,                 1.2065,                0.61754,                0.30082,                0.32599,                0.19852,                 1.5607,                 1.9997,                  1.286,             0.00091882,             0.00091882,             0.00091882
                     44,                 1.2329,                 1.0643,                 1.1935,                0.61066,                 0.2745,                0.31959,                0.18273,                  1.577,                 2.0293,                 1.2984,             0.00091684,             0.00091684,             0.00091684
                     45,                 1.2128,                 1.0325,                 1.2012,                0.64342,                0.31147,                0.34166,                0.20507,                 1.5561,                 2.1155,                 1.2914,             0.00091486,             0.00091486,             0.00091486
                     46,                 1.2099,                 1.0277,                 1.1968,                0.50373,                0.24515,                0.22575,                0.12473,                 1.9347,                 2.6633,                 1.4635,             0.00091288,             0.00091288,             0.00091288
                     47,                 1.2281,                 1.0526,                 1.2001,                0.58741,                0.30511,                0.33632,                0.20492,                 1.5758,                 2.0838,                 1.3062,              0.0009109,              0.0009109,              0.0009109
