                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.9121,                 1.7896,                 1.8181,                0.02035,                0.14575,                0.05687,                 0.0259,                 2.8233,                 2.9155,                 2.4171,             0.00021172,             0.00021172,             0.00021172
                     37,                 1.8898,                 1.7784,                 1.7828,                0.39256,                0.10957,                0.08692,                0.04329,                  2.413,                  2.724,                 2.1504,             0.00021127,             0.00021127,             0.00021127
                     38,                 1.8371,                 1.7441,                 1.7604,                0.58099,                0.04599,                0.08754,                0.04751,                 2.3926,                  2.673,                 2.1313,             0.00021082,             0.00021082,             0.00021082
                     39,                 1.7978,                 1.6747,                 1.7344,                0.56079,                0.06667,                0.11257,                0.06186,                  2.233,                  2.485,                 2.0249,             0.00021037,             0.00021037,             0.00021037
                     40,                 1.8298,                 1.6537,                  1.712,                0.58317,                0.08539,                0.12805,                0.06861,                 2.2328,                 2.3327,                 2.0081,             0.00020992,             0.00020992,             0.00020992
                     41,                 1.7466,                 1.5695,                 1.6843,                  0.636,                0.08296,                0.13792,                0.07481,                 2.1012,                 2.3089,                 1.9547,             0.00020947,             0.00020947,             0.00020947
                     42,                 1.6927,                 1.5512,                 1.6667,                0.59199,                0.08926,                0.12882,                0.06393,                 2.2005,                 2.2041,                 1.9493,             0.00020902,             0.00020902,             0.00020902
                     43,                 1.7047,                 1.5466,                 1.6525,                0.51183,                0.09144,                0.13762,                0.07747,                 2.1145,                 2.2458,                 1.9332,             0.00020857,             0.00020857,             0.00020857
                     44,                 1.6454,                 1.5098,                 1.6101,                0.49046,                0.11063,                0.14397,                0.07894,                 2.0393,                 2.1818,                 1.8658,             0.00020812,             0.00020812,             0.00020812
                     45,                 1.6539,                 1.5226,                 1.6196,                0.62958,                0.07368,                0.11781,                0.06521,                  2.193,                 2.4115,                 1.9964,             0.00020767,             0.00020767,             0.00020767
                     46,                 1.5804,                 1.4233,                 1.5723,                0.55633,                0.12297,                0.15005,                 0.0859,                 2.0375,                 2.0399,                 1.8558,             0.00020722,             0.00020722,             0.00020722
                     47,                  1.606,                 1.4526,                 1.5807,                0.41689,                0.12188,                0.13962,                  0.076,                 2.0199,                 2.1029,                 1.8425,             0.00020677,             0.00020677,             0.00020677
                     48,                 1.5161,                 1.3549,                 1.5494,                0.51199,                0.11083,                0.14707,                0.08188,                 2.0312,                 2.0962,                  1.843,             0.00020632,             0.00020632,             0.00020632
                     49,                 1.5378,                 1.3508,                 1.5473,                 0.5373,                0.12256,                0.16407,                0.09315,                 1.9805,                  2.041,                 1.8261,             0.00020588,             0.00020588,             0.00020588
                     50,                 1.4929,                 1.3183,                 1.5181,                 0.5511,                0.12336,                0.16388,                0.09193,                 1.9609,                 2.0853,                 1.8115,             0.00020543,             0.00020543,             0.00020543
                     51,                  1.478,                 1.3215,                 1.4981,                0.48852,                0.13563,                0.16609,                0.09536,                 1.9208,                 1.9287,                 1.7847,             0.00020498,             0.00020498,             0.00020498
                     52,                 1.4571,                 1.2736,                  1.486,                0.49507,                0.13919,                 0.1678,                0.09805,                 1.8988,                 1.9768,                 1.7867,             0.00020453,             0.00020453,             0.00020453
                     53,                 1.4326,                 1.2722,                 1.4735,                0.48363,                0.13363,                0.15851,                0.09001,                 1.9649,                 2.1073,                 1.7904,             0.00020408,             0.00020408,             0.00020408
                     54,                 1.4534,                 1.2396,                 1.4631,                 0.4626,                0.14651,                0.17478,                0.10242,                 1.8698,                 1.9333,                 1.7339,             0.00020363,             0.00020363,             0.00020363
                     55,                  1.428,                 1.2186,                  1.466,                0.48444,                0.13476,                0.15948,                0.09451,                 1.8759,                 1.9021,                 1.7443,             0.00020318,             0.00020318,             0.00020318
                     56,                 1.3777,                 1.1678,                  1.427,                0.41297,                0.15163,                0.14954,                 0.0853,                 1.9912,                 1.9584,                 1.8026,             0.00020273,             0.00020273,             0.00020273
                     57,                 1.3529,                   1.14,                 1.4104,                0.46794,                0.16714,                 0.1862,                 0.1114,                 1.8732,                 1.9538,                 1.7336,             0.00020228,             0.00020228,             0.00020228
                     58,                 1.3795,                 1.1566,                  1.421,                0.43361,                0.14474,                 0.1712,                0.09185,                 2.0695,                   1.91,                 1.8156,             0.00020183,             0.00020183,             0.00020183
                     59,                 1.3561,                 1.1232,                 1.4025,                0.36908,                0.17998,                0.19069,                0.11236,                 1.9163,                 1.9098,                  1.738,             0.00020138,             0.00020138,             0.00020138
                     60,                 1.3581,                 1.1236,                 1.3961,                0.42399,                0.18016,                0.19674,                0.11502,                  1.797,                 1.7241,                 1.6821,             0.00020093,             0.00020093,             0.00020093
                     61,                 1.3255,                  1.109,                 1.3762,                0.39174,                0.17259,                0.18164,                0.09416,                 1.9835,                 1.8806,                 1.7359,             0.00020048,             0.00020048,             0.00020048
                     62,                 1.3243,                  1.093,                 1.3755,                0.37298,                0.19166,                0.20324,                0.11585,                  1.792,                 1.8002,                 1.6874,             0.00020003,             0.00020003,             0.00020003
                     63,                 1.3297,                 1.1436,                 1.3686,                0.42819,                0.19065,                0.20355,                 0.1225,                 1.7421,                 1.7201,                 1.6335,             0.00019958,             0.00019958,             0.00019958
                     64,                 1.2735,                 1.0529,                 1.3483,                0.45796,                0.19825,                0.21398,                0.12382,                 1.7415,                 1.6541,                 1.6458,             0.00019913,             0.00019913,             0.00019913
                     65,                 1.3119,                 1.0464,                 1.3547,                0.39721,                0.19665,                0.20162,                0.11755,                 1.7893,                 1.7697,                 1.6531,             0.00019868,             0.00019868,             0.00019868
                     66,                  1.304,                 1.0372,                 1.3457,                 0.3996,                0.15338,                0.17291,                 0.1001,                 1.8678,                 1.8639,                 1.6994,             0.00019823,             0.00019823,             0.00019823
                     67,                 1.2579,                 1.0126,                 1.3215,                 0.4126,                 0.1923,                0.21988,                 0.1277,                 1.7849,                 1.7477,                  1.645,             0.00019779,             0.00019779,             0.00019779
                     68,                 1.2266,                 0.9908,                 1.2962,                0.39988,                 0.2008,                 0.2123,                0.12714,                 1.7607,                  1.827,                 1.6235,             0.00019734,             0.00019734,             0.00019734
                     69,                 1.2281,                0.96913,                 1.3069,                0.39872,                0.21715,                0.21821,                0.13049,                 1.7008,                 1.6726,                 1.5835,             0.00019689,             0.00019689,             0.00019689
                     70,                  1.205,                0.95942,                 1.2938,                0.40099,                0.22483,                0.23101,                0.13768,                 1.6898,                 1.6207,                  1.585,             0.00019644,             0.00019644,             0.00019644
                     71,                 1.2587,                0.97982,                 1.3081,                0.47098,                0.19965,                0.22539,                 0.1334,                 1.7381,                 1.7677,                 1.6055,             0.00019599,             0.00019599,             0.00019599
                     72,                 1.2076,                0.94854,                 1.2808,                0.43214,                0.21004,                0.21603,                0.11867,                 1.8155,                  1.724,                 1.6172,             0.00019554,             0.00019554,             0.00019554
                     73,                 1.1983,                0.93683,                 1.2814,                0.40138,                0.19752,                0.21287,                0.12908,                 1.6965,                 1.7101,                  1.584,             0.00019509,             0.00019509,             0.00019509
                     74,                 1.1685,                0.91195,                 1.2511,                  0.451,                0.22708,                0.24738,                0.14979,                  1.672,                 1.6474,                 1.5687,             0.00019464,             0.00019464,             0.00019464
                     75,                 1.1627,                0.90293,                 1.2547,                0.41043,                0.22464,                0.23786,                0.14022,                 1.6874,                 1.6119,                 1.5541,             0.00019419,             0.00019419,             0.00019419
                     76,                 1.1267,                0.88383,                 1.2527,                0.42057,                0.23006,                0.24832,                0.14941,                 1.6666,                   1.71,                 1.5525,             0.00019374,             0.00019374,             0.00019374
                     77,                 1.1466,                0.89458,                 1.2353,                0.38623,                0.19682,                0.20407,                0.12206,                 1.7088,                 1.8918,                 1.5952,             0.00019329,             0.00019329,             0.00019329
                     78,                 1.1257,                0.86956,                 1.2294,                0.50638,                0.22495,                0.25103,                0.15898,                  1.663,                 1.6923,                  1.537,             0.00019284,             0.00019284,             0.00019284
