                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2432,                0.98177,                 1.2509,                0.64454,                0.30679,                 0.3985,                0.23118,                 1.5977,                 2.0535,                 1.3737,             0.00021824,             0.00021824,             0.00021824
                     35,                 1.2273,                0.95377,                 1.2491,                0.69389,                0.37939,                0.41885,                 0.2495,                 1.5758,                 2.1043,                 1.3547,             0.00021778,             0.00021778,             0.00021778
                     36,                 1.2129,                0.96649,                 1.2334,                0.63293,                0.32086,                0.39871,                0.23683,                 1.5532,                 2.3182,                 1.3502,             0.00021731,             0.00021731,             0.00021731
                     37,                 1.2098,                0.96272,                 1.2297,                0.61976,                 0.3439,                0.39252,                0.22297,                 1.6125,                 1.8532,                  1.367,             0.00021685,             0.00021685,             0.00021685
                     38,                 1.2099,                0.95508,                 1.2304,                0.63911,                0.36867,                0.40771,                0.22861,                 1.6494,                  1.908,                   1.39,             0.00021639,             0.00021639,             0.00021639
                     39,                 1.1974,                0.92566,                 1.2179,                0.53977,                0.39906,                 0.4265,                0.25743,                 1.5633,                 1.9494,                 1.3468,             0.00021593,             0.00021593,             0.00021593
                     40,                 1.1703,                0.91521,                 1.1986,                0.61058,                0.37731,                 0.4074,                 0.2298,                 1.5813,                 1.9519,                 1.3495,             0.00021547,             0.00021547,             0.00021547
                     41,                  1.172,                0.90818,                 1.2008,                0.63003,                 0.3756,                0.44243,                0.27308,                 1.5173,                 1.9393,                  1.326,             0.00021501,             0.00021501,             0.00021501
                     42,                  1.163,                0.88673,                 1.1914,                0.53479,                0.40142,                0.41366,                 0.2403,                 1.5672,                 2.1366,                 1.3487,             0.00021455,             0.00021455,             0.00021455
                     43,                 1.1704,                0.88599,                 1.1999,                0.73208,                0.36612,                0.42827,                0.25302,                 1.5444,                 1.9008,                 1.3347,             0.00021409,             0.00021409,             0.00021409
                     44,                 1.1537,                0.87758,                 1.1942,                0.68082,                0.37216,                0.40385,                  0.226,                 1.6193,                 1.9041,                 1.3742,             0.00021362,             0.00021362,             0.00021362
                     45,                 1.1662,                0.87852,                 1.1911,                0.58899,                0.38503,                0.44929,                0.26411,                 1.5558,                 1.7746,                 1.3413,             0.00021316,             0.00021316,             0.00021316
                     46,                 1.1318,                0.86085,                 1.1889,                0.70332,                0.34299,                0.40204,                0.24295,                 1.5247,                 1.8643,                 1.3283,              0.0002127,              0.0002127,              0.0002127
                     47,                 1.1158,                0.83442,                  1.168,                0.69029,                0.38739,                 0.4484,                 0.2627,                  1.557,                  1.705,                 1.3382,             0.00021224,             0.00021224,             0.00021224
                     48,                 1.1326,                0.85145,                  1.178,                0.53743,                0.42028,                 0.4361,                0.26776,                 1.5119,                 2.1047,                 1.3215,             0.00021178,             0.00021178,             0.00021178
                     49,                  1.138,                0.84893,                 1.1824,                0.63746,                0.37245,                0.41633,                0.24496,                 1.4944,                 1.8896,                 1.3058,             0.00021132,             0.00021132,             0.00021132
                     50,                 1.1228,                 0.8338,                 1.1744,                0.54004,                0.39683,                0.41717,                0.25528,                 1.5494,                 1.9238,                 1.3316,             0.00021086,             0.00021086,             0.00021086
                     51,                 1.1153,                0.83584,                 1.1672,                0.62027,                0.44245,                0.44568,                0.27144,                 1.5161,                 1.8458,                 1.3149,             0.00021039,             0.00021039,             0.00021039
                     52,                 1.0982,                0.81904,                 1.1525,                 0.7203,                0.40434,                0.46601,                0.27942,                 1.5105,                 1.5854,                 1.2994,             0.00020993,             0.00020993,             0.00020993
                     53,                 1.0994,                0.79941,                 1.1566,                0.64634,                0.36634,                0.43996,                0.26618,                 1.4753,                 2.0234,                 1.2866,             0.00020947,             0.00020947,             0.00020947
                     54,                 1.0971,                0.81965,                 1.1558,                0.65773,                0.33101,                0.39114,                0.22577,                 1.5617,                 1.9005,                 1.3433,             0.00020901,             0.00020901,             0.00020901
                     55,                 1.1219,                  0.813,                 1.1686,                0.62152,                0.42954,                0.44795,                0.29069,                 1.4875,                 1.8774,                 1.3145,             0.00020855,             0.00020855,             0.00020855
                     56,                  1.099,                0.79722,                 1.1483,                0.60151,                0.43647,                0.46052,                0.29208,                 1.5029,                 1.7797,                 1.3032,             0.00020809,             0.00020809,             0.00020809
                     57,                  1.078,                0.78247,                 1.1383,                0.59411,                0.44005,                  0.475,                0.28866,                 1.5116,                 1.7517,                 1.3076,             0.00020763,             0.00020763,             0.00020763
                     58,                   1.08,                0.78414,                   1.14,                0.58074,                0.43552,                0.42303,                0.24827,                 1.5671,                 1.9557,                 1.3195,             0.00020716,             0.00020716,             0.00020716
                     59,                 1.0751,                0.77269,                 1.1395,                0.56026,                0.43625,                0.45966,                0.28745,                  1.482,                 1.7185,                 1.3018,              0.0002067,              0.0002067,              0.0002067
                     60,                 1.0636,                0.78001,                  1.143,                 0.6906,                0.37794,                0.43705,                0.27475,                 1.5082,                 1.8597,                 1.3175,             0.00020624,             0.00020624,             0.00020624
                     61,                 1.0563,                0.75984,                  1.132,                0.59922,                0.32004,                0.34624,                0.19373,                 1.7189,                  2.311,                 1.4447,             0.00020578,             0.00020578,             0.00020578
                     62,                 1.0434,                0.75181,                  1.142,                 0.5591,                0.49435,                 0.5059,                0.29641,                 1.5499,                 1.7075,                 1.3145,             0.00020532,             0.00020532,             0.00020532
                     63,                 1.0527,                0.76289,                 1.1271,                0.63988,                0.44042,                0.49602,                 0.2977,                 1.4921,                  1.704,                 1.2947,             0.00020486,             0.00020486,             0.00020486
                     64,                 1.0702,                0.75903,                 1.1421,                0.72218,                0.36674,                0.44078,                0.26223,                 1.5051,                 1.9908,                 1.3141,              0.0002044,              0.0002044,              0.0002044
                     65,                 1.0618,                0.75051,                 1.1257,                0.67543,                0.43487,                0.48355,                0.28714,                 1.5146,                  1.797,                 1.3067,             0.00020394,             0.00020394,             0.00020394
                     66,                 1.0586,                0.74892,                 1.1307,                0.72705,                 0.4054,                0.47587,                0.28678,                 1.5147,                 1.7624,                  1.289,             0.00020347,             0.00020347,             0.00020347
                     67,                  1.029,                0.72482,                   1.12,                0.70173,                0.42645,                 0.4979,                0.30493,                 1.4466,                 1.7021,                 1.2741,             0.00020301,             0.00020301,             0.00020301
                     68,                  1.041,                0.73298,                 1.1123,                0.63627,                0.44406,                0.48036,                0.30511,                  1.466,                  1.771,                 1.2852,             0.00020255,             0.00020255,             0.00020255
                     69,                 1.0389,                0.73761,                 1.1267,                0.56114,                0.46323,                0.47793,                0.29374,                 1.5266,                 1.7132,                 1.3057,             0.00020209,             0.00020209,             0.00020209
                     70,                 1.0495,                0.74001,                 1.1215,                 0.7281,                 0.4323,                0.47299,                0.29151,                 1.5145,                 1.6274,                 1.3088,             0.00020163,             0.00020163,             0.00020163
                     71,                 1.0357,                 0.7325,                 1.1144,                0.62566,                0.45841,                 0.4806,                0.29157,                 1.4855,                 1.7164,                 1.2808,             0.00020117,             0.00020117,             0.00020117
                     72,                 1.0232,                0.71316,                 1.1086,                 0.6823,                0.41904,                 0.4816,                0.30504,                 1.4642,                 1.8517,                 1.2772,             0.00020071,             0.00020071,             0.00020071
                     73,                 1.0199,                0.70752,                 1.1096,                0.54643,                0.44699,                 0.4647,                0.28679,                 1.5183,                 1.7751,                 1.3063,             0.00020024,             0.00020024,             0.00020024
                     74,                 1.0257,                0.70648,                 1.1127,                0.71089,                0.42506,                0.49096,                0.31056,                 1.4428,                 1.8288,                 1.2653,             0.00019978,             0.00019978,             0.00019978
                     75,                 1.0193,                0.71498,                 1.1077,                0.70549,                0.42709,                0.48945,                0.30628,                 1.4835,                 1.9571,                 1.3101,             0.00019932,             0.00019932,             0.00019932
                     76,                 1.0208,                0.71577,                 1.1087,                0.69211,                0.41001,                0.42885,                0.25827,                 1.5094,                 1.7347,                 1.3016,             0.00019886,             0.00019886,             0.00019886
                     77,                 1.0109,                0.69129,                 1.1047,                0.58571,                0.44706,                0.48069,                0.29011,                 1.5205,                  1.837,                 1.3088,              0.0001984,              0.0001984,              0.0001984
                     78,                0.99838,                0.68923,                 1.1013,                0.59571,                 0.4677,                0.48823,                0.30298,                 1.4802,                 1.6354,                  1.293,             0.00019794,             0.00019794,             0.00019794
                     79,                 1.0016,                0.68749,                 1.1023,                0.65648,                0.47051,                0.49306,                0.29521,                 1.4879,                 1.7578,                 1.2886,             0.00019748,             0.00019748,             0.00019748
