                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.1928,                 2.1136,                 1.7271,                0.27752,                0.06468,                0.02362,                0.00787,                 2.8038,                 3.7505,                 1.8806,             0.00093466,             0.00093466,             0.00093466
                     36,                 2.0737,                 2.1305,                 1.6641,                0.13716,                0.11964,                0.03178,                0.01143,                 2.5347,                 3.5402,                 1.7321,             0.00093268,             0.00093268,             0.00093268
                     37,                 2.1319,                 2.1721,                  1.715,                 0.1546,                0.02151,                0.01812,                0.00677,                 3.4233,                 4.3048,                 2.3123,              0.0009307,              0.0009307,              0.0009307
                     38,                 2.1041,                 2.0731,                 1.6836,                0.50448,                0.03307,                0.03002,                0.01559,                 2.7252,                 3.8089,                 1.9171,             0.00092872,             0.00092872,             0.00092872
                     39,                 2.0836,                 2.1456,                 1.6611,                0.03318,                0.10314,                0.03773,                0.01773,                 2.4255,                 5.0279,                 1.7378,             0.00092674,             0.00092674,             0.00092674
                     40,                 2.0534,                 2.0184,                 1.6373,                0.22667,                0.03723,                 0.0188,                 0.0075,                 2.8394,                 3.8197,                  1.951,             0.00092476,             0.00092476,             0.00092476
                     41,                 1.9705,                 2.0791,                 1.6113,                0.00841,                 0.1218,                0.02476,                0.00903,                 2.9661,                 4.0657,                 2.0659,             0.00092278,             0.00092278,             0.00092278
                     42,                 1.9345,                 1.9723,                 1.5986,                0.42934,                0.04413,                0.03583,                0.01779,                 2.5668,                 3.5054,                 1.8037,              0.0009208,              0.0009208,              0.0009208
                     43,                 1.8957,                 1.8847,                 1.6002,                 0.5128,                 0.0538,                0.04925,                0.02121,                 2.2929,                 3.0789,                 1.6561,             0.00091882,             0.00091882,             0.00091882
                     44,                 1.9201,                  1.922,                 1.5864,                0.02214,                0.11192,                0.03073,                0.01522,                  2.288,                 4.4889,                 1.6504,             0.00091684,             0.00091684,             0.00091684
                     45,                 1.8967,                 1.9287,                 1.5727,                0.45605,                0.05656,                0.05069,                  0.022,                 2.3964,                 3.1772,                 1.6678,             0.00091486,             0.00091486,             0.00091486
                     46,                 1.9132,                 1.8576,                 1.5359,                 0.4556,                0.05774,                0.05594,                0.02258,                 2.2375,                 3.1217,                 1.6086,             0.00091288,             0.00091288,             0.00091288
                     47,                 1.8816,                 1.8859,                 1.5639,                0.35618,                0.07997,                 0.0339,                0.01424,                 2.5657,                 3.3419,                 1.7614,              0.0009109,              0.0009109,              0.0009109
                     48,                 1.8286,                 1.7782,                 1.5427,                 0.0584,                0.05317,                0.02262,                0.01061,                 2.3495,                 10.285,                  1.686,             0.00090892,             0.00090892,             0.00090892
                     49,                  1.836,                 1.8231,                 1.5279,                0.46368,                0.08244,                0.04875,                 0.0206,                 2.3086,                 3.0207,                 1.6471,             0.00090694,             0.00090694,             0.00090694
                     50,                 1.8922,                 1.8266,                  1.557,                0.46063,                0.06694,                0.04639,                0.01874,                 2.3167,                 3.1423,                 1.6074,             0.00090496,             0.00090496,             0.00090496
                     51,                 1.7529,                 1.8461,                 1.5014,                0.48009,                 0.0708,                0.05835,                0.03024,                 2.2686,                 3.2646,                 1.6156,             0.00090298,             0.00090298,             0.00090298
                     52,                 1.8811,                 1.7313,                 1.5253,                0.44437,                0.07625,                0.06069,                0.03015,                 2.2178,                 3.0939,                 1.5744,               0.000901,               0.000901,               0.000901
                     53,                 1.7007,                 1.6798,                 1.4693,                0.51462,                0.05844,                0.05785,                0.02554,                 2.3798,                 3.0201,                 1.6517,             0.00089902,             0.00089902,             0.00089902
                     54,                 1.6569,                 1.6114,                 1.4244,                0.43222,                0.09711,                 0.0842,                0.03773,                 2.1655,                 2.8196,                 1.5662,             0.00089704,             0.00089704,             0.00089704
