                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9577,                  5.429,                 4.0708,                      0,                      0,                      0,                      0,                 5.3288,                 5.6687,                 4.2895,             7.6684e-05,             7.6684e-05,             7.6684e-05
                      2,                 3.9845,                 4.0375,                 3.4964,                0.00169,                0.02337,                0.00136,                0.00044,                 3.7448,                 4.6608,                 3.3362,             0.00015282,             0.00015282,             0.00015282
                      3,                 3.3062,                 3.3853,                  2.959,                0.29097,                0.01927,                0.01202,                0.00414,                  3.081,                 3.7284,                 2.7116,             0.00022742,             0.00022742,             0.00022742
                      4,                 2.8357,                 2.9287,                 2.6005,                0.01168,                0.12079,                0.02602,                0.00977,                 2.8288,                 3.3034,                  2.508,             0.00022608,             0.00022608,             0.00022608
                      5,                 2.5342,                 2.5833,                 2.3786,                0.34989,                 0.0479,                0.04059,                0.01546,                 2.5848,                 3.1108,                 2.2896,             0.00022608,             0.00022608,             0.00022608
                      6,                 2.3724,                 2.3712,                 2.2227,                0.37727,                0.05009,                0.03875,                0.01534,                 2.5244,                 2.8625,                 2.2071,             0.00022377,             0.00022377,             0.00022377
                      7,                 2.2215,                 2.1669,                 2.0718,                0.50642,                0.08498,                0.07809,                0.03951,                 2.3361,                 2.6773,                 2.0442,             0.00022147,             0.00022147,             0.00022147
                      8,                 2.1141,                 2.0771,                 1.9886,                0.49546,                0.08745,                0.07249,                0.03123,                 2.3359,                 2.6589,                 2.0956,             0.00021916,             0.00021916,             0.00021916
                      9,                 2.0219,                  1.945,                 1.9023,                0.56981,                0.07473,                0.09469,                0.04928,                 2.2557,                 2.9036,                  2.039,             0.00021685,             0.00021685,             0.00021685
                     10,                 1.9115,                 1.8284,                 1.8187,                0.45574,                0.12476,                0.11026,                0.05644,                 2.1013,                 2.5614,                 1.8456,             0.00021455,             0.00021455,             0.00021455
                     11,                 1.8494,                  1.772,                  1.757,                0.51083,                 0.1685,                0.13269,                0.06692,                 2.0591,                 2.4534,                 1.7912,             0.00021224,             0.00021224,             0.00021224
                     12,                 1.7935,                 1.7117,                 1.7185,                0.59091,                0.12999,                0.12195,                0.06182,                 2.1086,                  2.361,                 1.8437,             0.00020993,             0.00020993,             0.00020993
                     13,                 1.7064,                  1.628,                  1.656,                0.58806,                0.17458,                0.16278,                0.08474,                 1.9604,                 2.3932,                 1.7005,             0.00020763,             0.00020763,             0.00020763
                     14,                 1.7108,                 1.5946,                 1.6436,                0.61324,                0.15865,                0.20281,                0.11699,                 1.9333,                  2.301,                 1.6867,             0.00020532,             0.00020532,             0.00020532
                     15,                 1.6182,                 1.4787,                 1.5711,                  0.697,                0.16627,                0.18721,                0.10236,                 1.8833,                 2.3129,                 1.6559,             0.00020301,             0.00020301,             0.00020301
                     16,                  1.577,                  1.449,                 1.5436,                0.71346,                0.19001,                0.23336,                 0.1286,                 1.8301,                 2.2482,                 1.5898,             0.00020071,             0.00020071,             0.00020071
                     17,                 1.5518,                 1.4061,                 1.5154,                0.72732,                0.19543,                0.23774,                0.12704,                 1.8346,                 2.0177,                  1.588,              0.0001984,              0.0001984,              0.0001984
