                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2528,                 1.0038,                 1.2166,                0.60179,                0.42693,                0.44418,                0.27128,                 2.1872,                  1.965,                 1.9543,              0.0093466,              0.0093466,              0.0093466
                     36,                 1.2261,                0.98449,                 1.1948,                0.52021,                0.47121,                0.47935,                0.30606,                 1.9124,                 1.7862,                  1.769,              0.0093268,              0.0093268,              0.0093268
                     37,                 1.2206,                0.95118,                  1.186,                0.77971,                 0.4151,                 0.4735,                  0.303,                 1.9509,                 1.7574,                 1.7657,               0.009307,               0.009307,               0.009307
                     38,                  1.205,                 0.9456,                 1.1743,                0.44683,                0.18813,                0.20961,                0.12962,                 2.7844,                 3.3576,                 2.3952,              0.0092872,              0.0092872,              0.0092872
                     39,                 1.1994,                0.94316,                 1.1783,                0.33861,                0.45202,                0.42813,                0.24551,                 1.9542,                 2.2424,                 1.7953,              0.0092674,              0.0092674,              0.0092674
                     40,                 1.1899,                0.92331,                  1.187,                0.60913,                0.43047,                0.46204,                0.28607,                  1.877,                 1.8552,                 1.7648,              0.0092476,              0.0092476,              0.0092476
                     41,                 1.1966,                 0.9114,                 1.1733,                0.69078,                0.41921,                0.51363,                0.31176,                 1.8805,                 1.5278,                 1.7249,              0.0092278,              0.0092278,              0.0092278
                     42,                 1.1752,                0.90737,                 1.1661,                0.60995,                0.34033,                0.34236,                0.19035,                 2.0377,                 2.1972,                 1.8343,               0.009208,               0.009208,               0.009208
                     43,                 1.1621,                 0.8768,                 1.1576,                0.64785,                 0.3424,                 0.4026,                0.22731,                 2.0646,                 1.9768,                 1.8041,              0.0091882,              0.0091882,              0.0091882
                     44,                   1.18,                0.88422,                 1.1695,                0.77195,                0.26033,                 0.3801,                0.22521,                 2.0618,                 2.2175,                 1.7917,              0.0091684,              0.0091684,              0.0091684
                     45,                  1.144,                0.87285,                 1.1679,                0.58585,                 0.5511,                0.52193,                0.31381,                 1.9139,                 1.7009,                 1.7621,              0.0091486,              0.0091486,              0.0091486
                     46,                 1.1644,                  0.865,                 1.1629,                0.61413,                0.18369,                0.23528,                0.12439,                 2.7847,                 2.4865,                 2.2957,              0.0091288,              0.0091288,              0.0091288
                     47,                 1.1485,                0.85285,                 1.1567,                0.67487,                0.42295,                0.52724,                0.30736,                 1.8063,                 1.7292,                 1.6659,               0.009109,               0.009109,               0.009109
                     48,                 1.1266,                0.84028,                 1.1488,                0.39867,                0.14616,                0.18145,                0.10177,                 2.7451,                 4.2619,                 2.3463,              0.0090892,              0.0090892,              0.0090892
                     49,                 1.1472,                0.83709,                 1.1455,                0.47657,                0.31279,                0.30404,                 0.1607,                 2.3622,                 2.6284,                 2.0173,              0.0090694,              0.0090694,              0.0090694
                     50,                 1.1269,                0.82629,                 1.1448,                0.56841,                  0.239,                0.25841,                0.14793,                 2.5397,                 3.0702,                 2.1202,              0.0090496,              0.0090496,              0.0090496
                     51,                 1.1403,                0.83466,                  1.143,                0.33155,                0.44255,                0.38961,                0.23313,                 2.1741,                 1.9465,                 1.9002,              0.0090298,              0.0090298,              0.0090298
                     52,                 1.1221,                0.82902,                  1.151,                0.61705,                0.52947,                0.53537,                0.35843,                 1.7906,                 1.5413,                 1.6639,                0.00901,                0.00901,                0.00901
                     53,                  1.139,                0.82709,                  1.151,                0.49746,                0.48685,                0.45574,                0.27617,                 1.9103,                 1.9939,                 1.7612,              0.0089902,              0.0089902,              0.0089902
                     54,                 1.1157,                0.81939,                 1.1233,                0.48027,                0.20197,                0.20552,                0.13182,                 2.5596,                 3.4684,                 2.2574,              0.0089704,              0.0089704,              0.0089704
                     55,                 1.1197,                 0.8257,                 1.1466,                0.33461,                0.26061,                0.26334,                0.16702,                 2.2949,                 2.7607,                 1.9956,              0.0089506,              0.0089506,              0.0089506
                     56,                 1.1204,                0.79651,                 1.1328,                 0.3775,                0.44788,                0.41551,                 0.2447,                 2.0374,                  1.857,                 1.7692,              0.0089308,              0.0089308,              0.0089308
